Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Suite,Chrome 67.0.3396.99,,2018-07-05 16:09:12,2018-07-05 16:15:48,6m - 36.542s,FAILED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC24_Validate Advance search through customer id,Chrome 67.0.3396.99,,2018-07-05 16:09:13,2018-07-05 16:10:34,1m - 20.858s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-05 16:09:14,2018-07-05 16:09:37,23.236s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-05 16:09:37,2018-07-05 16:09:45,7.066s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-05 16:09:45,2018-07-05 16:09:46,1.703s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 16:09:46,2018-07-05 16:10:04,17.772s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 16:10:04,2018-07-05 16:10:04,0.446s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 16:10:04,2018-07-05 16:10:05,0.205s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:10:05,2018-07-05 16:10:06,1.049s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 16:10:06,2018-07-05 16:10:06,0.690s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:10:06,2018-07-05 16:10:07,0.334s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 16:10:07,2018-07-05 16:10:09,2.118s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:10:09,2018-07-05 16:10:09,0.358s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:10:09,2018-07-05 16:10:10,0.440s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-05 16:10:10,2018-07-05 16:10:14,3.828s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 16:10:14,2018-07-05 16:10:16,2.012s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-05 16:10:16,2018-07-05 16:10:16,0.220s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 16:10:16,2018-07-05 16:10:18,2.011s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:10:18,2018-07-05 16:10:18,0.365s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-05 16:10:18,2018-07-05 16:10:20,2.090s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-05 16:10:20,2018-07-05 16:10:20,0.033s,PASSED
Statement - Customer_Details = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.takeScreenshot(),Chrome 67.0.3396.99,,2018-07-05 16:10:20,2018-07-05 16:10:21,0.814s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-05 16:10:21,2018-07-05 16:10:21,0.197s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-05 16:10:21,2018-07-05 16:10:22,0.485s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 16:10:22,2018-07-05 16:10:34,12.009s,PASSED
,,,,,,
Test Cases/Alert Manager Test Cases/Alert Manager_Search Screen/TC25_Validate Advance search through Merchant id,Chrome 67.0.3396.99,,2018-07-05 16:10:34,2018-07-05 16:11:13,39.428s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-05 16:10:35,2018-07-05 16:10:45,9.886s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:10:45,2018-07-05 16:10:45,0.329s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 16:10:45,2018-07-05 16:10:50,5.012s,PASSED
click,Chrome 67.0.3396.99,,2018-07-05 16:10:50,2018-07-05 16:10:50,0.364s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-05 16:10:50,2018-07-05 16:10:52,2.010s,PASSED
